행정기관코드,통계년월,시도명,시군구명,읍면동명,계,남자,여자
1111051500,2025-10-31,서울특별시,종로구,청운효자동,5,1,4
1111053000,2025-10-31,서울특별시,종로구,사직동,0,0,0
1111054000,2025-10-31,서울특별시,종로구,삼청동,0,0,0
1111055000,2025-10-31,서울특별시,종로구,부암동,3,1,2
1111056000,2025-10-31,서울특별시,종로구,평창동,5,2,3
1111057000,2025-10-31,서울특별시,종로구,무악동,3,1,2
1111058000,2025-10-31,서울특별시,종로구,교남동,4,0,4
1111060000,2025-10-31,서울특별시,종로구,가회동,0,0,0
1111061500,2025-10-31,서울특별시,종로구,종로1.2.3.4가동,3,2,1
1111063000,2025-10-31,서울특별시,종로구,종로5.6가동,5,2,3
1111064000,2025-10-31,서울특별시,종로구,이화동,1,1,0
1111065000,2025-10-31,서울특별시,종로구,혜화동,6,3,3
1111067000,2025-10-31,서울특별시,종로구,창신제1동,1,1,0
1111068000,2025-10-31,서울특별시,종로구,창신제2동,1,1,0
1111069000,2025-10-31,서울특별시,종로구,창신제3동,1,1,0
1111070000,2025-10-31,서울특별시,종로구,숭인제1동,0,0,0
1111071000,2025-10-31,서울특별시,종로구,숭인제2동,4,2,2
1114052000,2025-10-31,서울특별시,중구,소공동,2,2,0
1114054000,2025-10-31,서울특별시,중구,회현동,2,0,2
1114055000,2025-10-31,서울특별시,중구,명동,1,0,1
1114057000,2025-10-31,서울특별시,중구,필동,2,1,1
1114058000,2025-10-31,서울특별시,중구,장충동,3,2,1
1114059000,2025-10-31,서울특별시,중구,광희동,0,0,0
1114060500,2025-10-31,서울특별시,중구,을지로동,7,2,5
1114061500,2025-10-31,서울특별시,중구,신당동,2,2,0
1114062500,2025-10-31,서울특별시,중구,다산동,5,2,3
1114063500,2025-10-31,서울특별시,중구,약수동,8,6,2
1114064500,2025-10-31,서울특별시,중구,청구동,10,6,4
1114065000,2025-10-31,서울특별시,중구,신당제5동,3,1,2
1114066500,2025-10-31,서울특별시,중구,동화동,2,1,1
1114067000,2025-10-31,서울특별시,중구,황학동,11,7,4
1114068000,2025-10-31,서울특별시,중구,중림동,18,10,8
1117051000,2025-10-31,서울특별시,용산구,후암동,5,1,4
1117052000,2025-10-31,서울특별시,용산구,용산2가동,1,1,0
1117053000,2025-10-31,서울특별시,용산구,남영동,3,3,0
1117055500,2025-10-31,서울특별시,용산구,청파동,5,3,2
1117056000,2025-10-31,서울특별시,용산구,원효로제1동,10,5,5
1117057000,2025-10-31,서울특별시,용산구,원효로제2동,8,5,3
1117058000,2025-10-31,서울특별시,용산구,효창동,13,5,8
1117059000,2025-10-31,서울특별시,용산구,용문동,5,2,3
1117062500,2025-10-31,서울특별시,용산구,한강로동,14,7,7
1117063000,2025-10-31,서울특별시,용산구,이촌제1동,16,4,12
1117064000,2025-10-31,서울특별시,용산구,이촌제2동,5,2,3
1117065000,2025-10-31,서울특별시,용산구,이태원제1동,3,0,3
1117066000,2025-10-31,서울특별시,용산구,이태원제2동,2,2,0
1117068500,2025-10-31,서울특별시,용산구,한남동,9,3,6
1117069000,2025-10-31,서울특별시,용산구,서빙고동,7,3,4
1117070000,2025-10-31,서울특별시,용산구,보광동,2,1,1
1120052000,2025-10-31,서울특별시,성동구,왕십리제2동,7,4,3
1120053500,2025-10-31,서울특별시,성동구,왕십리도선동,14,8,6
