구분,연령,피해자 수
중부 살인,남자6세이하,0
중부 살인,남자12세이하,0
중부 살인,남자15세이하,0
중부 살인,남자18세이하,0
중부 살인,남자19세,0
중부 살인,남자20세,0
중부 살인,남자30세이하,1
중부 살인,남자40세이하,0
중부 살인,남자50세이하,1
중부 살인,남자60세이하,0
중부 살인,남자64세이하,0
중부 살인,남자65세이상,0
중부 살인,미상,0
중부 살인,여자6세이하,0
중부 살인,여자12세이하,0
중부 살인,여자15세이하,0
중부 살인,여자18세이하,0
중부 살인,여자19세,0
중부 살인,여자20세,0
중부 살인,여자30세이하,0
중부 살인,여자40세이하,0
중부 살인,여자50세이하,0
중부 살인,여자60세이하,0
중부 살인,여자64세이하,0
중부 살인,여자65세이상,1
중부 살인,미상,0
중부 폭력,남자6세이하,0
중부 폭력,남자12세이하,2
중부 폭력,남자15세이하,0
중부 폭력,남자18세이하,7
중부 폭력,남자19세,2
중부 폭력,남자20세,4
중부 폭력,남자30세이하,102
중부 폭력,남자40세이하,113
중부 폭력,남자50세이하,142
중부 폭력,남자60세이하,115
중부 폭력,남자64세이하,46
중부 폭력,남자65세이상,75
중부 폭력,미상,0
중부 폭력,여자6세이하,0
중부 폭력,여자12세이하,0
중부 폭력,여자15세이하,2
중부 폭력,여자18세이하,3
중부 폭력,여자19세,2
중부 폭력,여자20세,2
중부 폭력,여자30세이하,73
중부 폭력,여자40세이하,48
중부 폭력,여자50세이하,29
중부 폭력,여자60세이하,39
중부 폭력,여자64세이하,19
중부 폭력,여자65세이상,31
중부 폭력,미상,1
종로 살인,남자6세이하,0
종로 살인,남자12세이하,0
종로 살인,남자15세이하,0
종로 살인,남자18세이하,0
종로 살인,남자19세,0
종로 살인,남자20세,0
종로 살인,남자30세이하,0
종로 살인,남자40세이하,0
종로 살인,남자50세이하,0
종로 살인,남자60세이하,1
종로 살인,남자64세이하,0
종로 살인,남자65세이상,0
종로 살인,미상,0
종로 살인,여자6세이하,0
종로 살인,여자12세이하,0
종로 살인,여자15세이하,0
종로 살인,여자18세이하,0
종로 살인,여자19세,0
종로 살인,여자20세,0
종로 살인,여자30세이하,0
종로 살인,여자40세이하,0
종로 살인,여자50세이하,0
종로 살인,여자60세이하,0
종로 살인,여자64세이하,0
종로 살인,여자65세이상,0
종로 살인,미상,0
종로 폭력,남자6세이하,1
종로 폭력,남자12세이하,0
종로 폭력,남자15세이하,1
종로 폭력,남자18세이하,3
종로 폭력,남자19세,1
종로 폭력,남자20세,2
종로 폭력,남자30세이하,105
종로 폭력,남자40세이하,124
종로 폭력,남자50세이하,79
종로 폭력,남자60세이하,103
종로 폭력,남자64세이하,37
종로 폭력,남자65세이상,100
종로 폭력,미상,7
종로 폭력,여자6세이하,0
종로 폭력,여자12세이하,0
종로 폭력,여자15세이하,0
종로 폭력,여자18세이하,2
종로 폭력,여자19세,0
종로 폭력,여자20세,0
종로 폭력,여자30세이하,28
종로 폭력,여자40세이하,30
종로 폭력,여자50세이하,40
종로 폭력,여자60세이하,38
종로 폭력,여자64세이하,17
종로 폭력,여자65세이상,46
종로 폭력,미상,4
남대문 살인,남자6세이하,0
남대문 살인,남자12세이하,0
남대문 살인,남자15세이하,0
남대문 살인,남자18세이하,0
남대문 살인,남자19세,0
남대문 살인,남자20세,0
남대문 살인,남자30세이하,0
남대문 살인,남자40세이하,0
남대문 살인,남자50세이하,0
남대문 살인,남자60세이하,0
남대문 살인,남자64세이하,1
남대문 살인,남자65세이상,0
남대문 살인,미상,0
남대문 살인,여자6세이하,0
남대문 살인,여자12세이하,0
남대문 살인,여자15세이하,0
남대문 살인,여자18세이하,0
남대문 살인,여자19세,0
남대문 살인,여자20세,0
남대문 살인,여자30세이하,0
남대문 살인,여자40세이하,0
남대문 살인,여자50세이하,0
남대문 살인,여자60세이하,0
남대문 살인,여자64세이하,1
남대문 살인,여자65세이상,0
남대문 살인,미상,0
남대문 폭력,남자6세이하,1
남대문 폭력,남자12세이하,0
남대문 폭력,남자15세이하,1
남대문 폭력,남자18세이하,1
남대문 폭력,남자19세,3
남대문 폭력,남자20세,2
남대문 폭력,남자30세이하,31
남대문 폭력,남자40세이하,64
남대문 폭력,남자50세이하,76
남대문 폭력,남자60세이하,83
남대문 폭력,남자64세이하,19
남대문 폭력,남자65세이상,60
남대문 폭력,미상,1
남대문 폭력,여자6세이하,2
남대문 폭력,여자12세이하,1
남대문 폭력,여자15세이하,0
남대문 폭력,여자18세이하,0
남대문 폭력,여자19세,1
남대문 폭력,여자20세,1
남대문 폭력,여자30세이하,21
남대문 폭력,여자40세이하,32
남대문 폭력,여자50세이하,23
남대문 폭력,여자60세이하,22
남대문 폭력,여자64세이하,4
남대문 폭력,여자65세이상,23
남대문 폭력,미상,1
서대문 살인,남자6세이하,0
서대문 살인,남자12세이하,0
서대문 살인,남자15세이하,0
서대문 살인,남자18세이하,0
서대문 살인,남자19세,0
서대문 살인,남자20세,0
서대문 살인,남자30세이하,1
서대문 살인,남자40세이하,0
서대문 살인,남자50세이하,0
서대문 살인,남자60세이하,0
서대문 살인,남자64세이하,0
서대문 살인,남자65세이상,1
서대문 살인,미상,0
서대문 살인,여자6세이하,0
서대문 살인,여자12세이하,0
서대문 살인,여자15세이하,0
서대문 살인,여자18세이하,0
서대문 살인,여자19세,0
서대문 살인,여자20세,0
서대문 살인,여자30세이하,1
서대문 살인,여자40세이하,0
서대문 살인,여자50세이하,0
서대문 살인,여자60세이하,0
서대문 살인,여자64세이하,0
서대문 살인,여자65세이상,0
서대문 살인,미상,0
서대문 폭력,남자6세이하,1
서대문 폭력,남자12세이하,2
서대문 폭력,남자15세이하,4
서대문 폭력,남자18세이하,12
서대문 폭력,남자19세,12
서대문 폭력,남자20세,5
서대문 폭력,남자30세이하,110
서대문 폭력,남자40세이하,97
서대문 폭력,남자50세이하,85
서대문 폭력,남자60세이하,89
서대문 폭력,남자64세이하,48
서대문 폭력,남자65세이상,90
서대문 폭력,미상,0
서대문 폭력,여자6세이하,1
서대문 폭력,여자12세이하,1
서대문 폭력,여자15세이하,0
서대문 폭력,여자18세이하,5
서대문 폭력,여자19세,6
서대문 폭력,여자20세,6
서대문 폭력,여자30세이하,79
서대문 폭력,여자40세이하,51
서대문 폭력,여자50세이하,61
서대문 폭력,여자60세이하,55
서대문 폭력,여자64세이하,21
서대문 폭력,여자65세이상,48
서대문 폭력,미상,2
혜화 살인,남자6세이하,0
혜화 살인,남자12세이하,0
혜화 살인,남자15세이하,0
혜화 살인,남자18세이하,0
혜화 살인,남자19세,0
혜화 살인,남자20세,0
혜화 살인,남자30세이하,0
혜화 살인,남자40세이하,0
혜화 살인,남자50세이하,0
혜화 살인,남자60세이하,0
혜화 살인,남자64세이하,0
혜화 살인,남자65세이상,0
혜화 살인,미상,0
혜화 살인,여자6세이하,0
혜화 살인,여자12세이하,0
혜화 살인,여자15세이하,0
혜화 살인,여자18세이하,0
혜화 살인,여자19세,0
혜화 살인,여자20세,1
혜화 살인,여자30세이하,0
혜화 살인,여자40세이하,0
혜화 살인,여자50세이하,0
혜화 살인,여자60세이하,0
혜화 살인,여자64세이하,0
혜화 살인,여자65세이상,0
혜화 살인,미상,0
혜화 폭력,남자6세이하,0
혜화 폭력,남자12세이하,2
혜화 폭력,남자15세이하,1
혜화 폭력,남자18세이하,6
혜화 폭력,남자19세,1
혜화 폭력,남자20세,1
혜화 폭력,남자30세이하,54
혜화 폭력,남자40세이하,66
혜화 폭력,남자50세이하,64
혜화 폭력,남자60세이하,90
혜화 폭력,남자64세이하,52
혜화 폭력,남자65세이상,74
혜화 폭력,미상,4
혜화 폭력,여자6세이하,0
혜화 폭력,여자12세이하,0
혜화 폭력,여자15세이하,1
혜화 폭력,여자18세이하,0
혜화 폭력,여자19세,1
혜화 폭력,여자20세,1
혜화 폭력,여자30세이하,24
혜화 폭력,여자40세이하,30
혜화 폭력,여자50세이하,29
혜화 폭력,여자60세이하,31
혜화 폭력,여자64세이하,8
혜화 폭력,여자65세이상,28
혜화 폭력,미상,0
용산 살인,남자6세이하,0
용산 살인,남자12세이하,0
용산 살인,남자15세이하,0
용산 살인,남자18세이하,0
용산 살인,남자19세,0
용산 살인,남자20세,0
용산 살인,남자30세이하,0
용산 살인,남자40세이하,0
용산 살인,남자50세이하,1
용산 살인,남자60세이하,2
용산 살인,남자64세이하,0
용산 살인,남자65세이상,0
용산 살인,미상,0
용산 살인,여자6세이하,0
용산 살인,여자12세이하,0
용산 살인,여자15세이하,0
용산 살인,여자18세이하,1
용산 살인,여자19세,0
용산 살인,여자20세,0
용산 살인,여자30세이하,0
용산 살인,여자40세이하,1
용산 살인,여자50세이하,1
용산 살인,여자60세이하,1
용산 살인,여자64세이하,0
용산 살인,여자65세이상,3
용산 살인,미상,0
용산 폭력,남자6세이하,0
용산 폭력,남자12세이하,3
용산 폭력,남자15세이하,1
용산 폭력,남자18세이하,18
용산 폭력,남자19세,9
용산 폭력,남자20세,18
용산 폭력,남자30세이하,297
용산 폭력,남자40세이하,346
용산 폭력,남자50세이하,283
용산 폭력,남자60세이하,204
용산 폭력,남자64세이하,76
용산 폭력,남자65세이상,123
용산 폭력,미상,17
용산 폭력,여자6세이하,1
용산 폭력,여자12세이하,0
용산 폭력,여자15세이하,1
용산 폭력,여자18세이하,4
용산 폭력,여자19세,3
용산 폭력,여자20세,7
용산 폭력,여자30세이하,115
용산 폭력,여자40세이하,116
용산 폭력,여자50세이하,89
용산 폭력,여자60세이하,108
용산 폭력,여자64세이하,31
용산 폭력,여자65세이상,38
용산 폭력,미상,3
성북 살인,남자6세이하,0
성북 살인,남자12세이하,0
성북 살인,남자15세이하,0
성북 살인,남자18세이하,0
성북 살인,남자19세,0
성북 살인,남자20세,0
성북 살인,남자30세이하,0
성북 살인,남자40세이하,0
성북 살인,남자50세이하,0
성북 살인,남자60세이하,1
성북 살인,남자64세이하,0
성북 살인,남자65세이상,0
성북 살인,미상,0
성북 살인,여자6세이하,0
성북 살인,여자12세이하,0
성북 살인,여자15세이하,0
성북 살인,여자18세이하,0
성북 살인,여자19세,0
성북 살인,여자20세,0
성북 살인,여자30세이하,0
성북 살인,여자40세이하,0
성북 살인,여자50세이하,0
성북 살인,여자60세이하,0
성북 살인,여자64세이하,0
성북 살인,여자65세이상,0
성북 살인,미상,0
성북 폭력,남자6세이하,0
성북 폭력,남자12세이하,2
성북 폭력,남자15세이하,12
성북 폭력,남자18세이하,11
성북 폭력,남자19세,1
성북 폭력,남자20세,4
성북 폭력,남자30세이하,68
성북 폭력,남자40세이하,58
성북 폭력,남자50세이하,60
성북 폭력,남자60세이하,50
성북 폭력,남자64세이하,33
성북 폭력,남자65세이상,39
성북 폭력,미상,1
성북 폭력,여자6세이하,2
성북 폭력,여자12세이하,1
성북 폭력,여자15세이하,0
성북 폭력,여자18세이하,5
성북 폭력,여자19세,4
성북 폭력,여자20세,3
성북 폭력,여자30세이하,43
성북 폭력,여자40세이하,38
성북 폭력,여자50세이하,40
성북 폭력,여자60세이하,54
성북 폭력,여자64세이하,29
성북 폭력,여자65세이상,26
성북 폭력,미상,0
동대문 살인,남자6세이하,0
동대문 살인,남자12세이하,0
동대문 살인,남자15세이하,0
동대문 살인,남자18세이하,0
동대문 살인,남자19세,1
동대문 살인,남자20세,0
동대문 살인,남자30세이하,0
동대문 살인,남자40세이하,0
동대문 살인,남자50세이하,1
동대문 살인,남자60세이하,1
동대문 살인,남자64세이하,0
동대문 살인,남자65세이상,1
동대문 살인,미상,0
동대문 살인,여자6세이하,0
동대문 살인,여자12세이하,0
동대문 살인,여자15세이하,0
동대문 살인,여자18세이하,0
동대문 살인,여자19세,0
